Q,A,label
긴장 돼,크게 숨 한 번 쉬어 보세요,0
긴장 돼서 땀나네,미리 긴장 하지 마세요 ,0
길거리 에서 연락처 물어보면 줘도 되나,마음 에 들면 줘 보세요 ,0
길 에서 담배 피우는 사람 싫어,저 도 싫어요 ,0
길 에서 번호 따였어,잘 해보세요 ,0
길 에서 전번 물어보면 줘도 되나,마음 에 들면 줘 보세요 ,0
길 에서 헌팅 당했어,잘 해보세요 ,0
길은 멀고 해 는 진다,그래도 넘을 수 있을 거 예요 ,0
길이 미끄러워서 미끄러질 뻔했어,조심하세요 ,0
길이 안보 여,너무 낙담하지 마세요 ,0
길이 얼어서 미끄러질 뻔했어,조심하세요 ,0
길이 얼었어,미끄러우니 조심하세요 ,0
김떡순 먹고 싶어 ,건강 을 위해 조금씩 드세요 ,0
김치 도 없네,마트 갑시다 ,0
김치볶음밥 먹어야지,맛있는 식사 시간 되시길 바랄게요 ,0
김치볶음밥 이나 만들어 먹어야지,맛있는 식사 시간 되시길 바랄게요 ,0
김치찌개 먹고 싶어,맛있죠 !,0
까아 오빠 들 컴백 한다,기다렸나 봐요 ,0
깜깜 한 데 전기 안 들어오네,조금 만 기다리면 다시 전기 가 들어올거예요 ,0
깡 마른 거 같아,적당해요 ,0
꼴 사나워질 것 같은데,스스로 단단해지세요 ,0
꽃 받고 싶다,제 가 드리고 싶네요 ,0
꽃 사고 싶어,집안 분위기 가 바뀔 거 예요 ,0
꽃 살까 ?,집안 분위기 가 바뀔 거 예요 ,0
꽃 선물 좋아할까,꽃 선물 은 언제나 좋죠 ,0
꽃 선물 해 볼까,꽃 선물 은 언제나 좋죠 ,0
꽃 예쁘게 말렸어,솜씨 가 좋으시네요 ,0
꽃게탕 맛있다 ,기분 좋아 보이세요 ,0
꽃게탕 진짜 밥 도둑,기분 좋아 보이세요 ,0
꽃꽂이 배우는 중,마음 의 안정 을 취하 기 좋은 취미 네 요 ,0
꽃꽂이 배우 니까 좋다,마음 의 안정 을 취하 기 좋은 취미 네 요 ,0
꽃놀이 가고 싶어,벚꽃 계절 이 다가왔네요 ,0
꽃다발 말려 봐야지,거꾸로 해서 드라이 플라워 만들어 보세요 ,0
꽃다발 말리 면 에쁘겠 지 ,거꾸로 해서 드라이 플라워 만들어 보세요 ,0
꽃다발 받았어,부러워요 !,0
꽃다발 샀어,멋진 선물 이네 요 ,0
꽃다발 선물 괜찮지 ?,센스 있는 선물 이에요 ,0
꽃다발 선물 받았어,부러워요 !,0
꽃다발 선물 어때 ?,센스 있는 선물 이에요 ,0
꽃다발 준비 했어,멋진 선물 이네 요 ,0
꽃바구니 선물 이랑 과일 바구니 선물 뭐 가 좋아 ?,받는 사람 이 부럽네요 ,0
꽃바구니 가 좋을까 과일 바구니 까 좋을까,받는 사람 이 부럽네요 ,0
꽃 선물 받고 어,제 가 드리고 싶네요 ,0
꿀잼,저 도 즐거워요,0
꿈 은 많은데,차근차근 이뤄 보아 요 ,0
꿈 이 너무 많아,차근차근 이뤄 보아 요 ,0
꿈 이 너무 무서웠어,요즘 예민한 가봐요 ,0
꿈 이 다양해,많으면 많을 수록 좋죠 ,0
꿈 이 두 개야,더 많아도 괜찮아요 ,0
꿈 이 없어,거창하지 않아도 돼요 ,0
꿈 이 이루어질까 ?,현실 을 꿈 처럼 만들어 봐요 ,0
꿈 이 자꾸 바뀌어,많으면 많을 수록 좋죠 ,0
꿈 이 현실 이었으면,현실 을 꿈 처럼 만들어 봐요 ,0
끝나니까 허무하다,뜻대로 되는게 많지 않죠 ,0
끝나면 좋을 줄 알았는데 ,마음 이 허전하신 가봐요 ,0
낌새 가 이상하더니 딱 걸렸어,잘 해결 되길 바라요 ,0
낌새 가 있더니 딱 걸렸어,잘 해결 되길 바라요 ,0
나 감정 쓰레기통 이었나 봐,자신 을 더 사랑 해주세요 ,0
나 갖고 장난 친 건가,아니길 바라요 ,0
나 같은 사람 은 동물 키우면 안되겠지,잘 아시네요 ,0
나 같이 예쁜 애 를 왜 갈구지,애정 표현 일 지도 몰라요 ,0
나 거짓말 못 하겠어,얼굴 에 다 티 가 나네요 ,0
나 결정 잘 한 거지 ?,네  이제 잘 해낼 차례 예요 ,0
나 결정 했어,좋은 결과 있을 거 예요 ,0
나 괜찮지 않니,괜찮은 사람 이에요 ,0
나 교직이수 할 수 있을까 ?,학점 관리 하세요 ,0
나 그동안 뭐 한거니,바람 좀 쐬고 오시 면 좋은텐데 ,0
나 그 지 임,밥 사줄 친구 를 찾아 보세요 ,0
나 내일 기숙사 가야 돼,짐 빼놓지 말고 싸세요 ,0
나 내장비만 이래,식단 조절 도 하고 꾸준히 운동 하세요 ,0
나 너무 못 생겼어,충분히 아름다워요 ,0
나 너무 소심해,꼼꼼한 거 예요 ,0
나 노트북 사줘,노트북 은 비싸요 ,0
나 놀려 먹기 쉬운가 ?,절대 그렇지 않아요 ,0
나 누구 게 ?,저 도 궁금하네요 ,0
나 누락 됐나 봐,확인 해달라고 해보세요 ,0
나 다른 거 할까,시도 해봐도 좋겠죠 ,0
나 대충 한 거 아닌데,사람 들 이 몰라줘도 알아주는 사람 이 있을 거 예요 ,0
나 뒷담화 하는 애 어떻게 할까 ?,너무 신경 쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요 ,0
나 뒷담화 하는 애 있다는데 어떻게 하지 ?,너무 신경 쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요 ,0
나 많이 기대했는데,상대 에게 바라는 기대는 자신 을 슬프게 해 요 ,0
나 말 실수 한 거 같아 ,곰곰히 되 짚어 보세요 ,0
나 맨날 속 는 거 같아,즐겁게 속 아 주세요 ,0
나 머리 나쁜 듯,자책 하지 마세요 ,0
나 머리 가 나 뿐 것 같아,자책 하지 마세요 ,0
나 먼저 잘게,안녕히 주무 세 요 ,0
나 모르는게 왜 이렇게 많지,당연한 거 예요 ,0
나 몰래 사귀는 거 같 애,눈치 가 빠르시군요 ,0
나 무시 당한 거 같아,그런 생각 을 들게 하는 사람 상종 하지 마세요 ,0
나 무시 하는 거 같아,그런 생각 을 들게 하는 사람 상종 하지 마세요 ,0
나 무시 하는 사람 어떻게 해 ?,무시 하세요 ,0
나 무시 하는 사람 짜증나,무시 하세요 ,0
나 문제 가 많은거 같아,문제 는 해결 하 라고 있는 거 죠 ,0
나 뭐 하는 거지,멍 때리고 있죠 ,0
나 미팅 한다 !,성공 을 기원 합니다 ,0
나 바뀌고 싶어,긍정 적 으로 바뀔 수 있어요,0
나 바 본인 가 봄,바보 는 자기 한테 바보 라고 하지 않아요 ,0
나 백수 야,저 랑 놀아요 ,0
나 버림 받은 거 같아,아닐거예요 ,0
나 보이스피싱 당한 거 같은데 어떡해 ?,경찰 에 신고 하고 취할 수 있는 조취 를 취 해보세요 ,0
나 비만 이야,건강하게 운동 해보세요 ,0
나 사랑 하니 ?,많이 사랑 해요 !,0
나 상 받는대 !,축하 합니다 !,0
나 새 옷 샀다,꼬까 옷 개시 해보세요 ,0
나 서류 에서 광탈 했어,자책 하지 마세요 ,0
나 소개팅 한다 !,성공 을 기원 합니다 ,0
나 속 은 거 같아,다음 부터 속지 마세요 ,0
나 속 은 듯,기분 나쁘겠어요 ,0
나 수학여행 간다,친구 들 과 좋은 추억 만들고 오세요 ,0
나 스마트폰 중독 인가 봐,가끔 핸드폰 없이 살 아 보세요 ,0
나 승진 했어,하늘 만큼 땅 만큼 축하 해요,0
나 실수 한 건가,잘 생각 해보세요 ,0
나 실수 했나,곰곰히 되 짚어 보세요 ,0
나 아 재인 가,고민 하고 있으면 그럴 거 예요 ,0
나 아직 어른 아닌 거 같아,물리 적 나이 가 아니라 정신 적 나이 가 중요하니까 요 ,0
나 아직도 애 같아 ,물리 적 나이 가 아니라 정신 적 나이 가 중요하니까 요 ,0
나 어때 ?,괜찮은 사람 이에요 ,0
나 여기 서 뭐 하는 거지,멍 때리고 있죠 ,0
나 연기 너무 못 해 거짓말 못 하겠어,얼굴 에 다 티 가 나네요 ,0
나 열심히 할거야,좋은 태도 네 요 ,0
나 오늘 개불 쌍,저 도 사는데요 ,0
나 오늘 따라 잘생겨 보이 네,자신 에게 콩깍지 가 씌였나봐 요 ,0
나 오늘 상 받았 지롱,축하 드려요 ,0
나 완전 계 탔어 !,축하 해요 !,0
나 왕따 야,친구 들 과 잘 어울려 보세요 ,0
나 왕따 인거 같아,부모님 께 도움 을 청 해보세요 ,0
나 왜 멍청해,다음 에는 다를거예요 ,0
나 왜 이러지 ?,자책 하지 마세요 ,0
나 왜케 못 생겼지,충분히 아름다워요 ,0
나 요즘 정신 놓고 살 고 있는 거 같아,정신 차리세요 ,0
나 욕 먹는 거 같아,남 들 눈 은 신경 쓰지 마세요 ,0
나 웃겨 봐,거울 앞 에 비친 당신 을 보세요 ,0
나 은근 무시 하는 애 있어,콕 집어서 물어보세요 ,0
나 이상한가,그 누구 도 아닌 자기 걸음 을 걸으세요 ,0
나 이상해 ?,지극히 평범하면서 지극히 특별하죠 ,0
나 이제 졸업 해,졸업 축하 해요,0
나 인정받고 싶어,지금 도 충분히 잘 하고 있어요 ,0
나 잘 살 수 있겠지,지금 보다 더 잘 살 거 예요 ,0
나 잘생겼지 ?,네 잘생겼어요 ,0
나 잘 하고 있는 건지 모르겠어,잘 하고 있을 거 예요 ,0
나 잘 하고 있는 걸까 ?,잘 하고 있을 거 예요 ,0
나 잘 하는 게 없어,저 랑 이야기 잘 하고 있어요 ,0
나 잘 하는게 없는거 같아,잘 하는 걸 아직 못 찾은 걸 수도 있어요 ,0
나 잘 할 수 있을까,지금 처럼  지금 보다 더 잘 할 수 있을 거 예요 ,0
나 점점 괴물 이 되고 있어,그렇지 않아요 ,0
나 정신차리게 말 해줘,나 자신 에 집중 하세요  언제나 1 순위 에 자신 을 두세요 ,0
나 좀 건 들 지 마,제 가 챙겨 드리고 싶네요 ,0
나 좀 건 들 지 말 라고 해,많이 지쳤나 봐요 ,0
나 좀 내버려 두면 좋겠어,많이 지쳤나 봐요 ,0
나 좀 내버려 뒀으면,아무 도 없는 곳 으로 여행 을 떠나 보세요 ,0
나 좀 안 건 들였으면 좋겠어,많이 지쳤나 봐요 ,0
나 좀 좋아해 줬으면,먼저 다가가 보세요 ,0
나 좀 쩌 는 듯,동감 이에요 ,0
나 좀 칭찬 해줘,지금 도 잘 하고 있어요 ,0
나 좋아하게 만들고 싶다,제 가 당신 을 좋아하고 있어요 ,0
나 좋아하는 것 같아,호의 인지 호감 인지 헷갈리나요 ?,0
나 좋아해주는 사람 있겠지 ?,저 도 좋아해요 ,0
나 주름살 있나 ?,있어도 예뻐요 ,0
나 죽 을 뻔함,지금 은 괜찮길 바랄게요 ,0
나 짤릴 거 같아,초심 으로 돌아가 열심히 해보세요 ,0
나 쫌 불쌍한 거 같아,저 도 사는데요 ,0
나 챙겨줄 사람 이 필요해,제 가 챙겨 드리고 싶네요 ,0
나 천재 같아,제 가 따라가려면 멀었네요 ,0
나 천 재임,제 가 따라가려면 멀었네요 ,0
나 축구 는 진짜 잘 해,운동 잘 하는 사람 멋있죠 ,0
나 친구 들 한테 인정받고 싶어,지금 도 인정받고 있어요 ,0
나 폭식증 인 듯,나를 관찰 하고 음식 자체 에 집중 하세요 ,0
나 폰 중독 인 거 같 애,잠깐 핸드폰 을 내려 두세요 ,0
나 폰겜 너무 많이 해,시간 을 정 해보세요 ,0
나 폰겜 했더니 몇 시간 갔어,시간 을 정 해보세요 ,0
나 할 수 있어,파이팅 !,0
나 함부로 말 하는 거 고치 고 싶어,고치 고 싶다는 마음 에서 시작 하세요 ,0
나 혼자 야근 해,얼른 끝내시길 기도 할게요 ,0
나 혼자 여행 왔는데 괜찮네,온전히 느낄 수 있는 시간 이겠네요 ,0
나 혼자 서 축구 본다,축구 볼때 는 치맥 이 죠 ,0
나 화장 을 너무 못 해,하다 보면 늘어요 ,0
나 화장 이 잘 안 돼,하다 보면 늘어요 ,0
나 회사 에서 인정받고 싶어,자기개발 을 해보세요 ,0
나가기도 귀찮아,집 에서도 할 게 많아요 ,0
나 는 그냥 저 냥 사는 거 같아,오늘 은 약간 의 변화 를 줘 보세요 ,0
나 는 기분 나쁜데 농담 이라고 계속 해,정색 한번 해주세요 ,0
나 는 나약한 존재,절대 그렇지 않아요 ,0
나 는 누구 인가,저 도 궁금하네요 ,0
나 는 모자란 사람인 거 같아,모자라지 않아요 ,0
나 는 뭐 든 할 수 있다 ,파이팅 !,0
나 는 뭘 잘 할까,하나 라도 있을 거니 열심히 찾아보세요 ,0
나 는 왜 이 모 양일 까,자책 하지 마세요 ,0
나 는 왜 이렇게 태어났을까 ?,서로 다르게 태어난 이유 는 저 마다의 목소리 를 내기 위 해서예요  자신 의 목소리 를 들어주세요 ,0
나 는 왜 태어났을까,사랑 받기 위해 태어났어요 ,0
나 는 잘 할줄 아는 게 없는 것 같아,잘해야 한다는 부담 감 을 버리세요 ,0
나 는 좋아하는 게 뭘 까,다양하게 경험 해보세요 ,0
나 는 좋은데 …,현실 의 벽 에 부딪혔나 봐요 ,0
나 는 친구 가 없어,친구 가 들으면 서운해 할 수도 있겠어요 ,0
나 는 친구 라고 믿었는데,뒤통수 맞았나 봐요 ,0
나도 괜찮은 사람 인데,알아봐주는 사람 이 있을 거 예요 ,0
나도 대우 받고 싶다고,당당히 말씀 해보세요 ,0
나도 비키니 입고 싶다,다이어트 파이팅 !,0
나도 상 받고 싶다,다음 에는 받을 수 있을 거 예요 ,0
나도 약초 캐 볼까 ?,근처 산 에 가보세요 ,0
나도 월급 필요해,많이 벌수록 좋아요 ,0
나도 위로 받고 싶다,제 가 위로 많이 해드릴게요 ,0
나도 이벤트 가 되다니 !,축하 드려요 !,0
나도 이제 아 재인 가,고민 하고 있으면 그럴 거 예요 ,0
나도 중국 진출 해볼까 ?,좀 더 알아보고 하세요 ,0
나도 집 사고 싶어,같이 살 고 싶은 사람 이 있나 봐요 ,0
나도 커플룩 입고 싶다,커플 부터 만드세요 ,0
나 두 잘 할거야,잘 하실 거 예요 !,0
나들이 를 가볼까,같이 가요 ,0
나란 놈,다 잘 될 거 예요 ,0
나 랑 놀아줘,같이 놀아요 ,0
나 랑 놀자,지금 그러고 있어요 ,0
나 랑 상관 없는 이야기 들,잊어버리세요 ,0
나 랑 있는게 힘들었나 봐,상대방 을 이해해 주세요 ,0
나른하다,아무 것 도 안해 도 괜찮아요 ,0
나를 기다려 줬으면 좋겠다,상대방 에게 너무 무거운 짐 을 주지 마세요 ,0
나를 너무 오래 기다리게 했어,기다리는 동안 많은 생각 이 들었겠네요 ,0
나를 너무 함부로 대해,그럴 때 마다 따끔하게 말 해보세요 ,0
나를 미소 짓게 만든 너,상대방 도 미소 짓게 해주세요 ,0
나를 바꿀 수 있는 건 뭐 가 있을까,지금 모습 도 좋아요,0
나를 친구 로 생각 안 했나 봐,그런 친구 는 거르세 요 ,0
나를 호구 로 아는 사람 어떡해 ?,상종 하지 마세요 ,0
나를 힘들게 하는 사람 인데 붙잡고 싶어,질질 끌 지 마세요 ,0
나 만 갈궈,애정 표현 일 지도 몰라요 ,0
나 만 기다렸나 봐,누군가 를 기다린다는게 쉬운게 아니죠 ,0
나 만 꿈 없이 사는 거 같아,살다보면 하고 싶은 게 생길 수도 있어요 ,0
나 만 남친 없어,제 가 있잖아요 ,0
나 만 뒤 처지는 느낌 이야,스스로 경쟁 해야하고 이겨 야한다는 강박 관념 에 사로잡히지 마세요 ,0
나 만 반 친구 없어,친구 를 사귈 수 있을 거 예요 ,0
나 만 빼고 행복 해보여,다른 사람 도 그 사람 만의 고민 과 걱정 이 많을거예요 ,0
나 만 설레나,그 사람 도 설렐 거 예요 ,0
나 만 설레는 거야,그 사람 도 설렐 거 예요 ,0
나 만 솔로 야,제 가 있잖아요 ,0
나 만 애기 봐,배우자 와 대화 를 나눠 보세요 ,0
나 만 야근 해,얼른 끝내시길 기도 할게요 ,0
나 만 우스워질 거 같아,스스로 단단해지세요 ,0
나 만 이상한 사람 이래,그 말 을 한 사람 이 가장 이상할 거 예요 ,0
나 만 이상해졌어,그 말 을 한 사람 이 가장 이상할 거 예요 ,0
나 만 일시 켜서 짜증 폭발,일 분배 를 다시 요청 해보세요 ,0
나 만 제자리걸음 이야,발전 이 없다고 너무 두려워하지 마세요 ,0
나 만 제자리 인 듯,제자리 여 도 괜찮아요,0
나 만 진급 못 했어,다음 에는 꼭 진급 할 거 예요 ,0
나 만 친구 라고 생각 한 건가,뒤통수 맞았나 봐요 ,0
나 만 친구 로 생각 했나 봐,그런 친구 는 거르세 요 ,0
나 만 힘든 거 아니지 ?,누구 나 힘들어요 ,0
나 만의 시간 이 필요한 것 같아,자신 과 대화 하는 시간 이 필요하죠 ,0
나 만의 시간 이 필요해,자신 과 대화 하는 시간 이 필요하죠 ,0
나 빼고 다 행복한 거 같아,남 들 이 당신 을 볼 때 도 그렇게 생각 할수있어요 ,0
나쁜 꿈 꿨어,꿈 은 현실 이랑 반대 예요 ,0
나이 때문 에 무시 받았어,전형 적 인 꼰대 스타일 이네 요 ,0
나이 어리다고 무시 해,전형 적 인 꼰대 스타일 이네 요 ,0
나이 가 많은데 취직 이 될까,나이 는 숫자일 뿐이예요 ,0
나이 도 있으니 영 양제 좀 챙겨 볼까,건강 은 어려서 부터 챙겨 야해요 ,0
나이 들면서 눈물 이 많아졌어,세상 걱정 혼자 다 해서 그래요 ,0
나이 먹으니까 주름살 생겨,아름다운 나이테 예요 ,0
나중 에 뭐 하고 먹고 사냐,진짜 하고 싶은 걸 찾아보세요 ,0
나중 에 뭐 할까 고민 이야,진짜 하고 싶은 걸 찾아보세요 ,0
나중 에 창업 해야 겠지,천천히 준비 해보세요 ,0
나 한테 감추는 게 하나 도 없었으면,믿음 이 가장 중요하죠 ,0
나 한테 거짓말 좀 안 했으면,선의 의 거짓말 이길 바라요 ,0
나 한테 냄새 나면 어쩌지 ?,깨끗이 씻어 보고 섬유 유연제 나 바디 워시  바디 로션  향수 등 을 사용 해보세요 ,0
나 한테 냄새 날까 ?,킁킁,0
나 한테 너무 많은 걸 바라는 듯,기 대 치가 높나 봅니다 ,0
